company_commits,name
30,Yahoo, Inc.
26,IBM
21,Grid Dynamics
20,Red Hat
14,HP
13,Rackspace
9,DreamHost
8,Huawei
7,Intel
4,SUSE
3,Mirantis
3,NEC
3,UnitedStack
2,eNovance
2,VMWare
1,Citrix
1,JHU APL
1,KTH Royal Institute of Technology
1,NetEase
1,Nexenta
1,Polycom
