meantime,labels,mediantime
5.99,13-Q3,2.06
5.41,13-Q4,2.24
8.78,14-Q1,2.59
8.14,14-Q2,2.02
8.14,14-Q3,2.87
7.81,14-Q4,2.96
9.69,15-Q1,3.44
7.9,15-Q2,2.79
