meantime,labels,mediantime
5.67,13-Q3,1.09
10.16,13-Q4,2.06
4.34,14-Q1,0.41
11.07,14-Q2,1.94
10.75,14-Q3,1.79
12.54,14-Q4,1.29
8.51,15-Q1,0.88
9.47,15-Q2,0.79
