medianpatchsets,labels,meanpatchsets
2.0,13-Q3,4.24
2.0,13-Q4,4.15
3.0,14-Q1,5.89
2.5,14-Q2,5.15
2.0,14-Q3,5.91
2.0,14-Q4,5.09
2.0,15-Q1,5.93
2.0,15-Q2,5.08
