occasional,core,labels,regular
449,169,13-Q3,242
431,184,13-Q4,262
563,213,14-Q1,324
555,201,14-Q2,348
646,211,14-Q3,381
553,208,14-Q4,388
669,272,15-Q1,482
623,231,15-Q2,411
