meantime,labels,mediantime
10.41,13-Q3,4.48
9.39,13-Q4,3.54
6.09,14-Q1,2.75
7.63,14-Q2,1.36
9.5,14-Q3,4.23
7.33,14-Q4,2.18
17.33,15-Q1,7.41
15.86,15-Q2,4.61
